nombre_pais,nombre,item1,valor1,item2,valor2
País de publicación: CO,eBird Colombia,Observaciones,1.167.059,Especies,926
País de publicación: CO,Naturalista Colombia,Observaciones,79.924,Especies,4.330
País de publicación: CO,Universidad Nacional de Colombia,Observaciones,79.295,Especies,6.982
País de publicación: CO,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,Observaciones,64.540,Especies,4.007
País de publicación: CO,Grupo Energía Bogotá,Observaciones,61.111,Especies,295
País de publicación: CO,Fundación Humedales,Observaciones,26.509,Especies,495
País de publicación: CO,Pontificia Universidad Javeriana,Observaciones,25.024,Especies,1.911
País de publicación: US,"National Museum of Natural History, Smithsonian Institution",Observaciones,20.888,Especies,4.439
País de publicación: CO,Ecopetrol S.A.,Observaciones,20.712,Especies,818
País de publicación: CO,Red Nacional de Observadores de Aves - RNOA,Observaciones,17.748,Especies,493
País de publicación: CO,Corpoguavio - Corporación Autónoma Regional del Guavio,Observaciones,16.260,Especies,604
País de publicación: NL,University of Amsterdam / IBED,Observaciones,14.552,Especies,660
País de publicación: US,Missouri Botanical Garden,Observaciones,11.948,Especies,2.736
País de publicación: CO,Asociación Colombiana de Zoología,Observaciones,8.254,Especies,21
País de publicación: CO,Universidad de la Salle,Observaciones,8.252,Especies,1.667
País de publicación: CO,Fundación Ecotrópico de Colombia,Observaciones,7.277,Especies,546
País de publicación: CO,"Jardín Botánico de Bogotá ""José Celestino Mutis""",Observaciones,5.516,Especies,1.565
País de publicación: CO,Enel Colombia,Observaciones,5.013,Especies,101
País de publicación: US,The New York Botanical Garden,Observaciones,4.543,Especies,1.440
País de publicación: CO,Asociación Bogotana de Ornitología,Observaciones,4.383,Especies,90
País de publicación: CO,CAR - Corporación Autónoma Regional de Cundinamarca,Observaciones,3.380,Especies,152
País de publicación: CO,Universidad de los Andes,Observaciones,3.276,Especies,453
País de publicación: CO,Parques Nacionales Naturales de Colombia,Observaciones,3.259,Especies,141
País de publicación: NL,Xeno-canto Foundation for Nature Sounds,Observaciones,3.005,Especies,410
País de publicación: US,Field Museum,Observaciones,2.754,Especies,997
País de publicación: NL,Observation.org,Observaciones,2.532,Especies,219
País de publicación: CO,Centro Internacional de Agricultura Tropical - CIAT,Observaciones,2.392,Especies,152
País de publicación: CO,Universidad Distrital Francisco José de Caldas,Observaciones,2.359,Especies,779
País de publicación: NL,Naturalis Biodiversity Center,Observaciones,2.348,Especies,674
País de publicación: US,American Museum of Natural History,Observaciones,2.212,Especies,251
País de publicación: CO,Cenit Transporte y Logística de Hidrocarburos S.A.S.,Observaciones,2.120,Especies,623
País de publicación: US,Natural History Museum of Los Angeles County,Observaciones,2.095,Especies,191
País de publicación: FR,Pl@ntNet,Observaciones,1.766,Especies,367
País de publicación: CO,Instituto Nacional de Salud,Observaciones,1.714,Especies,36
País de publicación: CO,Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA,Observaciones,1.687,Especies,198
