nombre_pais,nombre,item1,valor1,item2,valor2
País de publicación: CO,eBird Colombia,Observaciones,347.170,Especies,899
País de publicación: CO,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,Observaciones,103.000,Especies,4.543
País de publicación: CO,Universidad Pedagógica y Tecnológica de Colombia,Observaciones,76.293,Especies,2.734
País de publicación: CO,Universidad Nacional de Colombia,Observaciones,36.982,Especies,4.921
País de publicación: CO,Naturalista Colombia,Observaciones,12.436,Especies,2.699
País de publicación: CO,Red Nacional de Observadores de Aves - RNOA,Observaciones,8.294,Especies,487
País de publicación: CO,Ecopetrol S.A.,Observaciones,7.822,Especies,662
País de publicación: CO,Pontificia Universidad Javeriana,Observaciones,7.351,Especies,629
País de publicación: US,"National Museum of Natural History, Smithsonian Institution",Observaciones,6.742,Especies,2.246
País de publicación: CO,Corpoboyacá - Corporación Autónoma Regional de Boyacá,Observaciones,6.052,Especies,401
País de publicación: US,Missouri Botanical Garden,Observaciones,5.914,Especies,1.815
País de publicación: EE,PlutoF,Observaciones,4.743,Especies,86
País de publicación: CO,Corpochivor - Corporación Autónoma Regional de Chivor,Observaciones,4.202,Especies,229
País de publicación: CO,ABC Colombia Somos Territorio,Observaciones,3.254,Especies,412
País de publicación: US,Natural History Museum of Los Angeles County,Observaciones,3.230,Especies,70
País de publicación: US,Field Museum,Observaciones,2.772,Especies,996
País de publicación: CO,Parques Nacionales Naturales de Colombia,Observaciones,2.529,Especies,104
País de publicación: CO,Universidad de Antioquia,Observaciones,1.924,Especies,621
País de publicación: US,The New York Botanical Garden,Observaciones,1.823,Especies,847
País de publicación: NL,University of Amsterdam / IBED,Observaciones,1.775,Especies,447
País de publicación: CO,Universidad Distrital Francisco José de Caldas,Observaciones,1.701,Especies,530
País de publicación: NL,Naturalis Biodiversity Center,Observaciones,1.304,Especies,377
País de publicación: US,"Museum of Biological Diversity, The Ohio State University",Observaciones,1.255,Especies,11
País de publicación: US,University of Kansas Biodiversity Institute,Observaciones,1.243,Especies,31
País de publicación: CO,Instituto Amazónico de Investigaciones Científicas - SINCHI,Observaciones,1.229,Especies,626
País de publicación: NL,Xeno-canto Foundation for Nature Sounds,Observaciones,1.209,Especies,290
País de publicación: CO,Centro Internacional de Agricultura Tropical - CIAT,Observaciones,1.105,Especies,79
País de publicación: ZZ,Bioversity International,Observaciones,1.080,Especies,36
País de publicación: ZZ,The International Barcode of Life Consortium,Observaciones,1.007,Especies,154
País de publicación: GB,"Royal Botanic Gardens, Kew",Observaciones,964,Especies,339
País de publicación: CO,Universidad de la Salle,Observaciones,946,Especies,279
País de publicación: FR,Pl@ntNet,Observaciones,940,Especies,287
País de publicación: CO,Universidad Industrial de Santander,Observaciones,903,Especies,416
País de publicación: CO,Universidad de los Andes,Observaciones,827,Especies,176
País de publicación: CO,Instituto Nacional de Salud,Observaciones,585,Especies,35
País de publicación: CH,Plazi.org taxonomic treatments database,Observaciones,585,Especies,179
