nombre_pais,nombre,item1,valor1,item2,valor2
Colombia,eBird Colombia,Observaciones,1.167.059,Especies,926
Colombia,Naturalista Colombia,Observaciones,79.924,Especies,4.330
Colombia,Universidad Nacional de Colombia,Observaciones,79.295,Especies,6.982
Colombia,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,Observaciones,64.540,Especies,4.007
Colombia,Grupo Energía Bogotá,Observaciones,61.111,Especies,295
Colombia,Fundación Humedales,Observaciones,26.509,Especies,495
Colombia,Pontificia Universidad Javeriana,Observaciones,25.024,Especies,1.911
Colombia,Ecopetrol S.A.,Observaciones,20.712,Especies,818
Colombia,Red Nacional de Observadores de Aves - RNOA,Observaciones,17.748,Especies,493
Colombia,Corpoguavio - Corporación Autónoma Regional del Guavio,Observaciones,16.260,Especies,604
Colombia,Asociación Colombiana de Zoología,Observaciones,8.254,Especies,21
Colombia,Universidad de la Salle,Observaciones,8.252,Especies,1.667
Colombia,Fundación Ecotrópico de Colombia,Observaciones,7.277,Especies,546
Colombia,"Jardín Botánico de Bogotá ""José Celestino Mutis""",Observaciones,5.516,Especies,1.565
Colombia,Enel Colombia,Observaciones,5.013,Especies,101
Colombia,Asociación Bogotana de Ornitología,Observaciones,4.383,Especies,90
Colombia,CAR - Corporación Autónoma Regional de Cundinamarca,Observaciones,3.380,Especies,152
Colombia,Universidad de los Andes,Observaciones,3.276,Especies,453
Colombia,Parques Nacionales Naturales de Colombia,Observaciones,3.259,Especies,141
Colombia,Centro Internacional de Agricultura Tropical - CIAT,Observaciones,2.392,Especies,152
Colombia,Universidad Distrital Francisco José de Caldas,Observaciones,2.359,Especies,779
Colombia,Cenit Transporte y Logística de Hidrocarburos S.A.S.,Observaciones,2.120,Especies,623
Colombia,Instituto Nacional de Salud,Observaciones,1.714,Especies,36
Colombia,Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA,Observaciones,1.687,Especies,198
Colombia,Instituto Amazónico de Investigaciones Científicas - SINCHI,Observaciones,1.453,Especies,495
Colombia,Universidad de Antioquia,Observaciones,1.445,Especies,640
Colombia,Universidad de Caldas,Observaciones,853,Especies,522
Colombia,Fundación Natura Colombia,Observaciones,843,Especies,113
Colombia,Universidad Industrial de Santander,Observaciones,442,Especies,165
Colombia,Universidad de Ciencias Aplicadas y Ambientales U.D.C.A,Observaciones,392,Especies,80
Colombia,Biotica Consultores Ltda,Observaciones,329,Especies,102
Colombia,Universidad del Tolima,Observaciones,299,Especies,97
Colombia,TERRASOS,Observaciones,298,Especies,58
Colombia,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,Observaciones,256,Especies,49
Colombia,Universidad El Bosque,Observaciones,253,Especies,2
Colombia,GeoPark Colombia S.A.S,Observaciones,242,Especies,78
Colombia,Universidad de Nariño,Observaciones,233,Especies,157
Colombia,Universidad Pedagógica y Tecnológica de Colombia,Observaciones,223,Especies,45
Colombia,Aïgos SAS,Observaciones,218,Especies,80
Colombia,Universidad de los Llanos,Observaciones,185,Especies,55
Colombia,"Instituto de Hidrología, Meteorología y Estudios Ambientales de Colombia - Ideam",Observaciones,107,Especies,55
Colombia,Universidad del Quindío,Observaciones,107,Especies,44
Colombia,Fundación Trópico Alto,Observaciones,105,Especies,52
Colombia,Construcciones y Ambiente Conambiente S.A.S,Observaciones,101,Especies,44
Colombia,Secretaría Distrital de Ambiente,Observaciones,94,Especies,11
Colombia,Alcaldía Municipal de Cogua en Cundinamarca,Observaciones,70,Especies,15
Colombia,Corporación Centro de Investigación en Palma de Aceite - CENIPALMA,Observaciones,59,Especies,5
Colombia,Instituto Tecnológico Metropolitano,Observaciones,55,Especies,37
Colombia,Universidad Icesi,Observaciones,54,Especies,35
Colombia,Fundación Jardín Botánico Joaquín Antonio Uribe de Medellín,Observaciones,52,Especies,25
Colombia,Universidad Católica de Oriente,Observaciones,47,Especies,19
Colombia,Fundación Estación Biológica Guayacanal,Observaciones,45,Especies,17
Colombia,Universidad Tecnológica de Pereira,Observaciones,45,Especies,26
Colombia,Universidad del Valle,Observaciones,45,Especies,30
Colombia,Universidad EAFIT,Observaciones,44,Especies,11
Colombia,Proyecto de Conservación de Aguas y Tierras - ProCAT Colombia,Observaciones,39,Especies,15
Colombia,Centro Nacional de Investigaciones del Café - Cenicafé,Observaciones,35,Especies,2
Colombia,InvBasa,Observaciones,35,Especies,9
Colombia,Asociación SELVA: Investigación para la Conservación en el Neotrópico,Observaciones,34,Especies,5
Colombia,Universidad Tecnológica del Chocó,Observaciones,29,Especies,19
Colombia,Corporación CorpoGen,Observaciones,22,Especies,-
Colombia,Universidad del Magdalena,Observaciones,20,Especies,-
Colombia,Universidad de la Amazonia,Observaciones,19,Especies,11
Colombia,Aguas de Bogotá S.A. E.S.P.,Observaciones,15,Especies,9
Colombia,Asociación Colombiana de Ictiólogos,Observaciones,15,Especies,12
Colombia,"Jardín Botánico de Cartagena ""Guillermo Piñeres""",Observaciones,9,Especies,5
Colombia,Jardín Botánico del Quindío,Observaciones,7,Especies,4
Colombia,Asociación para el estudio y conservación de las aves acuáticas en Colombia - Calidris,Observaciones,4,Especies,3
Colombia,Museo Entomológico de Comfenalco - Antioquia,Observaciones,3,Especies,-
Colombia,Universidad Simón Bolívar,Observaciones,3,Especies,1
Colombia,Corporación San Jorge,Observaciones,2,Especies,2
Colombia,Asociación Primatológica Colombiana,Observaciones,1,Especies,1
