nombre_pais,nombre,item1,valor1,item2,valor2
Colombia,eBird Colombia,Observaciones,347.170,Especies,899
Colombia,Instituto de Investigación de Recursos Biológicos Alexander von Humboldt,Observaciones,103.000,Especies,4.543
Colombia,Universidad Pedagógica y Tecnológica de Colombia,Observaciones,76.293,Especies,2.734
Colombia,Universidad Nacional de Colombia,Observaciones,36.982,Especies,4.921
Colombia,Naturalista Colombia,Observaciones,12.436,Especies,2.699
Colombia,Red Nacional de Observadores de Aves - RNOA,Observaciones,8.294,Especies,487
Colombia,Ecopetrol S.A.,Observaciones,7.822,Especies,662
Colombia,Pontificia Universidad Javeriana,Observaciones,7.351,Especies,629
Colombia,Corpoboyacá - Corporación Autónoma Regional de Boyacá,Observaciones,6.052,Especies,401
Colombia,Corpochivor - Corporación Autónoma Regional de Chivor,Observaciones,4.202,Especies,229
Colombia,ABC Colombia Somos Territorio,Observaciones,3.254,Especies,412
Colombia,Parques Nacionales Naturales de Colombia,Observaciones,2.529,Especies,104
Colombia,Universidad de la Salle,Observaciones,946,Especies,279
Colombia,Universidad Industrial de Santander,Observaciones,903,Especies,416
Colombia,Universidad de los Andes,Observaciones,827,Especies,176
Colombia,Instituto Nacional de Salud,Observaciones,585,Especies,35
Colombia,Fundación Humedales,Observaciones,524,Especies,82
Colombia,"Jardín Botánico de Bogotá ""José Celestino Mutis""",Observaciones,448,Especies,269
Colombia,Geotec Ingenieria Ltda,Observaciones,435,Especies,61
Colombia,Corporación Colombiana de Investigación Agropecuaria - AGROSAVIA,Observaciones,351,Especies,73
Colombia,Fundación Centro para la Investigación en Sistemas Sostenibles de Producción Agropecuaria - Cipav,Observaciones,349,Especies,2
Colombia,Universidad El Bosque,Observaciones,229,Especies,-
Colombia,Universidad de Caldas,Observaciones,206,Especies,160
Colombia,Universidad de Nariño,Observaciones,181,Especies,105
Colombia,"Instituto de Hidrología, Meteorología y Estudios Ambientales de Colombia - Ideam",Observaciones,169,Especies,75
Colombia,Fundación Jardín Botánico Joaquín Antonio Uribe de Medellín,Observaciones,116,Especies,57
Colombia,Asociación Colombiana de Zoología,Observaciones,107,Especies,9
Colombia,Universidad de la Amazonia,Observaciones,84,Especies,32
Colombia,Universidad del Valle,Observaciones,75,Especies,25
Colombia,Universidad de Sucre,Observaciones,74,Especies,-
Colombia,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca - INCIVA,Observaciones,73,Especies,19
Colombia,Universidad del Magdalena,Observaciones,68,Especies,7
Colombia,Universidad de los Llanos,Observaciones,61,Especies,17
Colombia,Universidad del Tolima,Observaciones,57,Especies,33
Colombia,CAR - Corporación Autónoma Regional de Cundinamarca,Observaciones,55,Especies,10
Colombia,Universidad Tecnológica del Chocó,Observaciones,43,Especies,6
Colombia,CDMB - Corporación Autónoma Regional Para la Defensa de la Meseta de Bucaramanga,Observaciones,40,Especies,3
Colombia,Asociación SELVA: Investigación para la Conservación en el Neotrópico,Observaciones,36,Especies,5
Colombia,Corporación Centro de Investigación en Palma de Aceite - CENIPALMA,Observaciones,30,Especies,1
Colombia,Fundación Trópico Alto,Observaciones,29,Especies,15
Colombia,Universidad Icesi,Observaciones,26,Especies,14
Colombia,Tecnológico de Antioquia,Observaciones,21,Especies,8
Colombia,Universidad del Quindío,Observaciones,20,Especies,12
Colombia,InvBasa,Observaciones,11,Especies,6
Colombia,Universidad Católica de Oriente,Observaciones,11,Especies,-
Colombia,Asociación Primatológica Colombiana,Observaciones,9,Especies,3
Colombia,Centro Nacional de Investigaciones del Café - Cenicafé,Observaciones,9,Especies,3
Colombia,Jardín Botánico del Quindío,Observaciones,9,Especies,5
Colombia,Universidad Tecnológica de Pereira,Observaciones,8,Especies,3
Colombia,Asociación Colombiana de Ictiólogos,Observaciones,7,Especies,4
Colombia,Museo Entomológico de Comfenalco - Antioquia,Observaciones,6,Especies,-
Colombia,Universidad de Ciencias Aplicadas y Ambientales U.D.C.A,Observaciones,3,Especies,1
Colombia,Enel Colombia,Observaciones,2,Especies,1
Colombia,Instituto Tecnológico Metropolitano,Observaciones,2,Especies,2
